City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,namtsy,62.7161,129.6658,20.33,35,66,4.12,RU,1724025534
298,souillac,-20.5167,57.5167,21.21,83,40,7.72,MU,1724025535
299,bariri,-22.0744,-48.7403,24.22,26,1,2.84,BR,1724025536
300,acajutla,13.5928,-89.8275,28.11,79,72,1.5,SV,1724025540
301,esperanza,19.5847,-70.9849,23.45,94,82,2.25,DO,1724025541
302,quelimane,-17.8786,36.8883,20.97,88,0,0.0,MZ,1724025542
303,yuzawa,39.1667,140.5,26.7,72,17,0.32,JP,1724025544
304,maceio,-9.6658,-35.7353,24.69,78,75,2.57,BR,1724025407
305,saint croix,17.7397,-64.7388,28.25,85,20,3.09,VI,1724025546
306,tamandare,-8.7597,-35.1047,23.32,82,64,4.05,BR,1724025547
307,kavieng,-2.5744,150.7967,29.34,72,30,5.96,PG,1724025548
308,bourg-saint-maurice,45.6172,6.769,14.62,99,100,1.73,FR,1724025549
309,vorgashor,67.5833,63.95,3.97,92,38,2.6,RU,1724025551
310,san luis de la loma,17.2706,-100.8939,29.0,77,74,1.88,MX,1724025552
311,mil'kovo,55.6078,37.7956,18.52,79,1,0.74,RU,1724025553
312,chinsali,-10.5414,32.0816,13.35,56,1,2.7,ZM,1724025554
313,shushtar,32.0455,48.8567,33.94,61,0,2.91,IR,1724025555
314,burang,30.25,81.1667,10.62,81,100,1.76,CN,1724025556
315,sujiatun,41.6592,123.3392,28.1,78,0,2.0,CN,1724025558
316,dhuusamarreeb,5.535,46.3861,23.52,73,100,9.07,SO,1724025559
317,sasovo,54.3537,41.9199,17.93,84,62,0.37,RU,1724025560
318,flying fish cove,-10.4217,105.6791,23.82,94,100,6.17,CX,1724025561
319,port alfred,-33.5906,26.891,17.5,75,63,2.83,ZA,1724025562
320,ixtapa,20.7,-105.2,28.71,87,98,1.61,MX,1724025563
321,skhirate,33.8498,-7.0404,22.95,86,0,2.03,MA,1724025565
322,saint-pierre,-21.3393,55.4781,19.82,83,75,8.75,RE,1724025566
323,karaton,-6.3424,106.1045,23.28,84,26,0.59,ID,1724025567
324,manokwari,-0.8667,134.0833,27.79,72,99,2.05,ID,1724025568
325,newman,37.3138,-121.0208,31.14,15,0,2.3,US,1724025569
